obs,A_N_SA,A_R_SA,B_L_SA,C_N_SA,C_R_SA,E_SA,E_SAL_SA,G_N_SA,G_R_SA,I_L,I_N_SA,I_R_SA,L_SA,M_N_SA,M_R_SA,P_C_SA,P_CPI_SA,P_G_SA,P_I_SA,P_M_DE_SA,P_M_SA,P_MINO_SA,P_PPI_SA,P_X_SA,P_Y_SA,QM_SA,T,U_SA,W_B_SA,X_N_SA,X_R_SA,Y_DU_SA,Y_MISR_SA,Y_N_SA,Y_R_DE_SA,Y_R_SA,Y_R_SA
1997Q4,587.6789282,337.1502059,4282.212544,6550.536914,6528.470741,1550.415449,1021.235113,2189.981562,2244.419794,12.59666667,2383.336581,2204.216529,1810.954623,6772.301114,6438.438599,0.998527301,0.922958171,0.975745076,1.07920248,0.962087653,1.052419948,1.187764686,0.885545742,0.96754427,0.988180316,1531.732272,12,14.38684162,898.8228357,5754.182017,5897.820043,4209.955915,3744.386798,10693.41489,484760.6349,10773.63871,10773.63871
1998Q1,33.60038819,-317.0352938,4577.6728,6671.632532,6573.735087,1506.120496,1014.127524,2697.602312,2678.880714,13.21,2521.565589,2399.366636,1761.16515,6557.700658,6267.834097,1.019587531,0.928285667,1.006988589,1.065081223,0.953847287,1.044998831,1.19849167,0.875267082,0.939371441,1.001202855,1668.641161,13,14.48158644,943.3331758,5474.031875,5823.093915,4363.178161,3786.845341,10840.73204,489101.7023,10890.20696,10890.20696
1998Q2,205.8389123,70.86014369,4987.057133,6723.388151,6606.184904,1480.773471,1008.024742,2572.765631,2531.618923,12.36666667,2786.278652,2590.028204,1717.401366,6566.459599,6572.758352,1.022265047,0.942717758,1.016253121,1.076202939,0.943258452,1.002977689,1.169425136,0.859842567,0.919068903,1.000324009,1760.070221,14,13.7782524,989.6330276,5379.530461,5868.458584,4592.481786,3749.097382,11101.34221,487592.9373,11094.39241,11094.39241
1998Q3,538.6477102,450.6191507,5323.214669,7050.257258,6864.962914,1487.745986,1014.221739,2597.617148,2491.117788,10.66,2876.141232,2677.88395,1709.583973,6626.379999,6727.162992,1.021931589,0.946802534,1.042751636,1.061386277,0.930804533,0.981312002,1.16189626,0.839037232,0.894138929,1.005332061,1835.971038,15,12.97613867,1024.237614,4934.230094,5552.041064,4838.590408,3660.978884,11370.51344,490590.2255,11309.46187,11309.46187
1998Q4,32.91308369,43.81926217,5572.311132,7028.472748,6843.689064,1504.39016,988.3264429,3018.935993,2753.95846,14.15666667,2496.119879,2332.84847,1723.67075,5758.009642,5865.116879,1.025194885,0.948658129,1.096216968,1.070528127,0.915854688,0.981900252,1.188932656,0.819159611,0.876724816,1.008006424,2029.019146,16,12.72172136,1042.603994,4553.376393,5156.987609,4889.279196,3463.806253,11371.80845,492080.2848,11266.18599,11266.18599
1999Q1,34.71920023,12.02152643,5858.968415,6745.843008,6673.124986,1500.298161,1035.423847,2555.666746,2599.628897,14.01333333,2370.1066,2270.106628,1728.466847,5043.207988,5367.193094,1.015592358,0.946927857,0.983089067,1.051481241,0.910234353,0.938307236,1.117353014,0.81077202,0.865769289,0.990282372,2276.884367,17,13.20064001,1046.966478,4199.828244,4846.04757,4739.414799,3261.560493,10862.95581,492811.4533,11033.73651,11033.73651
1999Q2,-132.5155701,-94.5710414,6249.343368,7294.963809,7195.599253,1483.590086,1032.107574,2575.434404,2434.969379,12.76,2742.111373,2701.861259,1718.063254,5539.985551,5931.059879,1.016142998,0.94784115,1.057686568,1.021156087,0.920960464,0.93852427,1.085417121,0.833229536,0.876580345,1.002307974,2724.346937,18,13.64752824,1057.827047,4188.0844,4790.200049,4787.636086,3524.48388,11128.09286,495337.8058,11096.99902,11096.99902
1999Q3,78.99278319,68.93497088,6418.169774,7281.319446,7070.289414,1458.639135,1016.170498,2282.348787,2284.43639,13.09,2384.42733,2324.664412,1709.037834,5395.42297,5553.483438,1.025207082,0.949984477,0.999086163,1.014464986,0.930866869,0.967749304,1.062648499,0.874880073,0.914273873,0.999852313,2963.906333,19,14.6514427,1070.688794,4314.066317,4730.248738,4684.194709,3254.790591,10945.73169,501366.2345,10925.09049,10925.09049
1999Q4,317.6163201,496.6387869,6255.381375,7128.883615,7051.747225,1435.768723,985.9553644,2314.104461,2276.897255,14.16333333,2134.301345,2132.019972,1703.20395,5381.09959,5400.606624,1.010411438,0.949460793,1.016341188,0.995399919,0.949963986,0.996182052,1.038099632,0.931168532,0.975955764,0.986423869,3069.372122,20,15.70189098,1062.512029,4258.249046,4358.27041,4641.15782,3244.195377,10772.0552,508970.2583,10914.96702,10914.96702
2000Q1,108.2092998,10.59944131,6100.365364,7158.253776,7212.396453,1425.253368,908.9164141,2736.565187,2752.395781,14.61333333,2164.922841,2192.516682,1693.391994,5882.678574,5864.727696,0.996160329,0.955856189,0.994248431,0.993706709,0.972524389,1.001251941,1.02508182,0.990275857,0.992475166,1.003314947,3314.941013,21,15.83440968,1055.708663,5204.907543,5227.558032,4573.176645,3497.145636,11490.18007,514340.2887,11530.73869,11530.73869
2000Q2,69.87600258,7.989407795,6229.119321,7407.14718,7419.50034,1411.114018,900.6484105,2485.511691,2524.244627,12.1,2086.465213,2093.16,1686.663614,5601.905684,5658.829002,0.998264983,0.956082601,0.984655633,1.005453257,0.987422186,0.995240625,1.013623223,0.991159079,0.983514182,0.996379557,3556.170389,22,16.33696213,1059.979561,4859.745877,4940.980787,4498.836763,3575.388824,11306.84028,516437.5185,11327.04616,11327.04616
2000Q3,-146.3432753,-102.2944659,6054.136407,7371.164328,7355.575634,1402.864975,891.819934,2588.172403,2566.353728,11.87,2148.454315,2154.974985,1687.547347,5960.345558,5881.421508,1.000846804,0.958464807,1.008501819,0.995329801,1.006932214,1.009692384,1.00879157,1.005058803,1.008094233,0.99324187,3831.186769,23,16.86959315,1052.135292,5280.741514,5245.904215,4456.477914,3589.911579,11281.84373,515560.0386,11339.09259,11339.09259
2000Q4,165.3275952,270.6441279,6066.636369,7512.679454,7484.726477,1390.274407,884.0874687,2614.435701,2577.255176,11.32,2177.012664,2136.481216,1666.419732,5897.25533,5928.708438,1.003420906,0.961218625,1.014426404,0.999678012,1.029304724,0.993801976,0.986298604,1.01450671,1.012595489,1.005331408,4174.264695,24,16.57117472,1057.769419,5113.259455,5067.301566,4526.286382,3857.08472,11685.45954,516408.8165,11607.70012,11607.70012
2001Q1,-135.6610053,181.5294435,6291.709656,7858.108637,7627.444108,1376.412165,865.8588198,2613.77271,2665.926082,11.20333333,2378.423988,2399.994492,1654.782312,6553.509006,6537.885729,1.029826274,0.957456638,0.980437053,0.999453009,1.012513524,1.000911192,1.013647765,0.996116189,1.000371023,0.995795219,4525.425652,25,16.82216116,1066.736661,5894.729733,5862.331585,4653.014598,4027.39766,12055.86506,524400.8753,12199.33998,12199.33998
2001Q2,0.584243206,62.45441861,6440.494222,7700.335606,7588.712509,1360.557291,865.7342537,2624.640515,2668.839089,10.39,2187.131269,2163.479705,1647.365969,6577.497771,6565.895818,1.016197348,0.969520431,0.983439026,1.023428953,1.011195,1.006521049,1.003490217,0.990102346,1.00765274,1.003411452,4640.73513,26,17.41013737,1062.055846,6081.106631,6025.075534,4623.513849,4112.816333,12016.30049,521703.3191,11942.66544,11942.66544
2001Q3,-89.90123957,-14.84656308,6647.625613,7806.091535,7668.273236,1345.505652,869.2144918,2628.047331,2669.427315,9.58,2228.86864,2317.255082,1636.284393,6511.036544,6689.212957,1.01949895,0.976975299,0.984498554,0.966381026,1.005184834,0.970685865,0.984968533,0.962441143,0.974583235,0.993967291,4958.658496,27,17.77067253,1062.782902,6037.563823,6205.231159,4595.945142,4193.960413,12099.63355,520223.3097,12156.12727,12156.12727
2001Q4,-122.3645072,163.626259,7168.51784,8061.631405,7811.951612,1346.320342,869.3361064,2543.726275,2660.772913,8.696666667,2966.380673,2774.79333,1633.439614,7198.344337,7566.665612,1.02907382,0.980253679,0.956010287,1.038133296,0.992070625,0.949965509,0.977709486,0.932282013,0.927052215,0.990454368,5094.734335,28,17.57758718,1071.212531,6179.943589,6699.447822,4658.831905,4354.612817,12430.9731,521877.1842,12543.92632,12543.92632
2002Q1,-265.493289,169.2656741,7543.64872,8242.200134,8009.313248,1372.960089,862.9131116,2723.942569,2592.874584,7.783333333,2566.663576,2630.855009,1636.545293,7121.364267,7569.179094,1.027893363,0.983215648,1.050549296,0.988916553,0.988358945,0.939661031,0.958618491,0.935436723,0.920029576,0.990369528,5422.97717,29,16.10619669,1114.410142,6375.498732,6870.996143,4966.99907,4067.380075,12521.44746,518953.4001,12704.12556,12704.12556
2002Q2,325.9028255,257.8161368,7614.193151,8271.783899,8072.712846,1410.173468,870.4087136,2573.423349,2624.527209,7.113333333,2509.805747,2608.719799,1633.150348,7761.142214,8136.772735,1.027892262,0.973728567,0.980528356,0.975086211,0.990445324,0.957397086,0.963323034,0.94786766,0.933593073,0.997421494,5457.31772,30,13.6531753,1110.039724,7004.803681,7509.418697,4875.919167,4567.35884,12924.57729,522976.5832,12936.42195,12936.42195
2002Q3,211.3342091,180.3334067,8096.351402,8332.100874,8254.781037,1424.143102,871.1818402,2807.275637,2764.72739,6.283333333,2569.013454,2619.979906,1629.602397,7560.879368,8080.053345,1.010125494,0.968807748,1.015389672,0.984974115,0.976017962,0.934299067,0.94879894,0.94317303,0.927797798,1.00250569,5663.779682,31,12.60794014,1122.809323,6867.236173,7444.351681,5031.570836,4711.23956,13226.08098,524548.7941,13184.12008,13184.12008
2002Q4,-2.644736067,207.4032585,8669.038296,8368.030968,8136.919874,1415.059967,880.8053444,2777.277912,2786.926619,6.053333333,2882.896314,2846.614836,1621.642106,7892.008173,8425.477205,1.024699611,0.969059693,0.996537868,0.982599136,0.978227297,0.934956726,0.939473635,0.942220079,0.919117198,0.997925078,5835.792157,32,12.73907097,1126.423138,7151.324346,7750.452337,5174.495595,4573.37554,13284.87663,521706.415,13302.83972,13302.83972
2003Q1,-70.74424516,410.9983069,9229.04021,8869.913334,8665.008833,1405.897138,895.3483521,2745.640022,2633.080974,6.233333333,2631.665442,2726.214659,1608.689983,7909.488707,8407.136169,1.024509595,0.968290405,1.042748039,0.984150867,0.974349737,0.939785099,0.928338815,0.975106513,0.959724574,0.999991468,5886.249345,33,12.60608611,1151.567792,7707.373467,7978.834844,5364.321676,5077.961747,13974.35931,519271.5266,14007.00145,14007.00145
2003Q2,169.2926987,467.7853824,9788.098661,8994.155578,8841.205671,1463.033326,905.7241589,2871.549075,2866.825554,6.156666667,3009.988295,3063.416281,1690.175244,7697.242219,8507.258045,1.019200672,0.966415942,1.001647648,0.991730812,0.956550318,0.907302644,0.914848673,0.911921715,0.899156393,0.988094124,6195.572311,34,13.43895662,1162.992295,6620.006705,7394.332115,5526.33226,4909.046989,13967.75013,518334.1418,14126.30696,14126.30696
2003Q3,365.8397354,711.828331,11468.12593,8988.422532,8910.085945,1441.580128,913.3045913,2812.43671,2819.111745,5.463333333,3082.860793,3135.687172,1641.357068,8197.305044,9117.636304,1.01046977,0.959382248,0.997632221,0.982213341,0.950729336,0.89827361,0.923868431,0.924236915,0.904646197,0.983190085,6373.484026,35,12.1714491,1169.238865,7236.143477,8072.467644,5632.190252,5114.34763,14288.3982,522313.508,14531.54453,14531.54453
2003Q4,153.5649304,608.6258805,12824.56857,9466.676623,9403.460647,1439.654598,923.4720316,2824.861182,2886.800987,5.473333333,3171.282035,3197.78019,1625.943304,8608.659433,9539.908756,0.999453986,0.95669407,0.978543791,0.972409544,0.947417929,0.901028098,0.923444944,0.940175781,0.914825066,0.988497711,6393.35465,36,11.45726951,1186.186942,7606.150898,8215.911189,5681.320801,5207.556031,14613.87624,523959.6259,14772.67014,14772.67014
2004Q1,480.1182422,972.070461,14257.39947,9570.676809,9675.342222,1427.240601,935.7443424,2893.962373,2894.113632,5.41,3225.34265,3365.264538,1624.141257,8633.042064,9609.441182,0.995708533,0.957680396,0.999947735,0.977985893,0.947452521,0.897031046,0.910865247,0.95824814,0.945911034,0.990746364,6445.620062,37,12.12337013,1172.647711,7468.477013,7849.819102,5913.476017,5343.662298,15005.53502,527159.0282,15147.16877,15147.16877
2004Q2,187.1896058,862.0961438,15970.2752,10010.02432,9940.550916,1429.4706,941.2989898,3051.654152,3007.718083,5.466666667,3521.348712,3572.831159,1618.839284,9067.775993,10017.33262,1.00736581,0.97132397,1.014607775,0.985801069,0.956467013,0.907346783,0.905986441,0.982939921,0.97360213,1.003498431,6566.211894,38,11.69780632,1224.659911,7643.798399,7919.355201,6228.792069,5545.277933,15346.23919,526712.6352,15285.21888,15285.21888
