obs,A_N_SA,A_R_SA,B_L_SA,C_N_SA,C_R_SA,E_SA,E_SAL_SA,G_N_SA,G_R_SA,I_L,I_N_SA,I_R_SA,L_SA,M_N_SA,M_R_SA,P_C_SA,P_CPI_SA,P_G_SA,P_I_SA,P_M_DE_SA,P_M_SA,P_MINO_SA,P_PPI_SA,P_X_SA,P_Y_SA,QM_SA,T,U_SA,W_B_SA,X_N_SA,X_R_SA,Y_DU_SA,Y_MISR_SA,Y_N_SA,Y_R_DE_SA,Y_R_SA,Y_R_SA
2010Q3,-32.48129841,37.46262685,,,,,,,,8.181019869,,,1604.780804,,,,,,,0.970340863,1.046919821,1.078731913,,1.080371682,,,63,,,,,,,,547880.6473,,
2010Q4,-94.93940962,-6.921489106,,,,,,,,8.175978836,,,1604.360418,,,,,,,0.976025264,1.046410416,1.069010921,,1.07791319,,,64,,,,,,,,549310.289,,
2011Q1,37.32154643,72.0146169,,,,,,,,8.174317579,,,1604.096499,,,,,,,0.980631094,1.045208027,1.059620512,,1.074673193,,,65,,,,,,,,550743.6611,,
2011Q2,-71.19756756,-6.540822369,,,,,,,,8.173770118,,,1603.924312,,,,,,,0.984359186,1.04352045,1.050778987,,1.070927033,,,66,,,,,,,,552180.7735,,
2011Q3,-6.299672729,32.84525304,,,,,,,,8.173589703,,,1603.806589,,,,,,,0.987374326,1.041508881,1.042551894,,1.066884782,,,67,,,,,,,,553621.6359,,
2011Q4,-22.38413648,16.59324163,,,,,,,,8.173530248,,,1603.721807,,,,,,,0.989811235,1.039297148,1.035021743,,1.062704565,,,68,,,,,,,,555066.2581,,
2012Q1,-57.89738804,-7.664676258,,,,,,,,8.173510655,,,1603.657477,,,,,,,0.991779751,1.036979336,1.028229814,,1.058503557,,,69,,,,,,,,556514.6499,,
2012Q2,-0.830250808,27.36663473,,,,,,,,8.173504198,,,1603.606302,,,,,,,0.993369214,1.034626006,1.022179797,,1.054366903,,,70,,,,,,,,557966.8212,,
2012Q3,-55.5013062,-10.35609089,,,,,,,,8.17350207,,,1603.563969,,,,,,,0.994652169,1.03228923,1.016863227,,1.050354897,,,71,,,,,,,,559422.7817,,
2012Q4,-18.71456543,13.35152277,,,,,,,,8.173501369,,,1603.527887,,,,,,,0.995687431,1.030006638,1.012253776,,1.046508697,,,72,,,,,,,,560882.5414,,
2013Q1,-27.79485773,5.255653285,,,,,,,,8.173501138,,,1603.496464,,,,,,,0.996522631,1.02780464,1.008312694,,1.042854852,,,73,,,,,,,,562346.1102,,
2013Q2,-41.89074403,-4.096205649,,,,,,,,8.173501062,,,1603.46869,,,,,,,0.997196309,1.025701001,1.004994435,,1.039408862,,,74,,,,,,,,563813.4981,,
2013Q3,-15.31692592,12.32599737,,,,,,,,8.173501037,,,1603.443898,,,,,,,0.997739622,1.023706869,1.002247917,,1.036177963,,,75,,,,,,,,565284.715,,
2013Q4,-42.99600471,-6.454525078,,,,,,,,8.173501029,,,1603.421622,,,,,,,0.998177746,1.021828373,1.000019229,,1.033163298,,,76,,,,,,,,566759.7709,,
