"obs","AKT_R_SA","BP_IM_SA","CN_N_SA","CN_R_SA","E_SA","E_SAL_SA","G_N_SA","G_R_SA","I_N_SA","I_R_SA","IK_R_SA","IL_M1","L_SA","LT_EUR","M_N_SA","M_R_EU15_SA","M_R_SA","M_RU_USD_SA","P_CN_SA","P_CPI_SA","P_G_SA","P_I_SA","P_M_EU15_SA","P_M_SA","P_X_SA","P_Y_SA","T","U_SA","UCC_SA","W_B_SA","X_N_SA","X_R_SA","Y_KOMP_SA","Y_MISR_SA","Y_N_SA","Y_R_SA"
"1995Q1",420.00966107505701,3436.9870679999899,3866.1650804948499,5198.2290697171902,1641.48146679873,1170.0205395379301,1488.7379235895901,2470.5439579876102,1615.7872239127701,1566.3130595719099,1227.97996709269,28.286666669999999,1947.340913,5.0932000000000004,3729.5228365254502,498247.91190000001,3693.0909042206399,18366.30071,0.74374657765999197,0.59613394933360897,0.58301789150910499,1.04039802523199,0.926167026,1.010358098,0.80748865999999997,0.66551705491355895,0.0,15.701571381338701,,420.90313644866097,2783.1327995929,3448.5415349999998,2244.5539038653801,1371.8153904532501,5957.5160964398401,9072.2132866519096
"1995Q2",-239.312864566672,3565.9617560000002,4150.8501090805603,5526.4516292041599,1633.04215494303,1080.79751171715,1479.2511429078099,2424.79183817586,1400.2117796847999,1243.4886953134701,1425.6979081452901,26.65666667,1970.0397069999999,5.3239999999999998,3697.9742944712102,504447.12809999898,3638.0076564670899,19664.139449999901,0.75108774808516698,0.63507123198672,0.60990961626650797,1.1253964119450699,0.92452731499999996,1.0165758380000001,0.85443802400000002,0.69932167282469504,1.0,17.030382578341801,15.2786059783017,466.90183080254201,3125.7540047461998,3627.57467,2403.0934573623299,1622.0305337336999,6414.1779382671402,9127.1955244915498
"1995Q3",-374.24433300332299,3592.6755509999998,4389.5450431044601,5775.5960762858904,1619.5720492026801,1061.5890006535999,1652.0029234338001,2558.9433506932901,1597.6923999293499,1161.47835758356,1265.8038004463999,27.24666667,1971.8731600000001,5.24969999999999,3937.0030432079402,505307.68699999899,3944.7070055092199,21400.844639999999,0.76001593344236096,0.67645263343179496,0.64710548286948699,1.42164693014705,0.92313910300000002,0.99645771100000002,0.86750004800000002,0.78179574029292798,2.0,17.972207246101,13.0734660864712,509.43472475241902,3346.2096690050998,3887.2978950000002,2571.0957468501801,2078.3763238089,7089.5430264568304,9168.6897839130397
"1995Q4",-997.50400410300006,3484.8843550000001,4643.4423650454501,6096.4843510636601,1623.8006206282801,1049.0168180307601,1948.55206494513,2951.8928100426601,1459.6649299722101,932.40415843621599,1496.3739551215599,26.896666669999998,1975.6981310000001,5.2693999999999903,4220.7955747801398,511531.21899999998,4221.9936609463502,23020.708910000001,0.76165903128010204,0.73643838341734902,0.68188269339602603,1.4663755966099701,0.92770362399999995,1.000013088,0.85325657499999996,0.76724354640125003,3.0,17.8865267291817,22.110694400090999,565.91932953998901,3484.2147519008699,4093.6676849999999,2771.5074229452598,2090.1147505551298,7336.0376398099197,9418.9211361785201
"1996Q1",-163.131755383567,3316.1849750000001,4995.9408318370097,5911.3500036707501,1618.27893290003,1129.72360538258,1888.0978779954,2447.0276756319499,1528.3040533952201,1459.65782573769,1557.2077121218099,23.916666670000001,1970.735015,5.1493000000000002,4677.3469974218297,522961.79350000003,4531.2488087289603,22609.485639999999,0.84514380450061199,0.784650649829439,0.74404930045880402,1.05102236627246,0.931374064,1.0320497319999999,0.91193977299999995,0.81747498424412901,4.0,17.7596112734449,14.548569799548501,599.19137295045402,3973.4598496281701,4353.9858210000002,2930.60180722519,2287.9885228398798,7730.6226833463497,9575.1906483119801
"1996Q2",-369.685622144901,3217.3081539999998,5293.2729676331501,5981.7000992420299,1613.27126874648,1072.98786381115,1955.24057517444,2489.4553456784502,1523.5430386491801,1399.28184238054,1568.49143829472,23.116666670000001,1957.7598579999999,5.0179999999999998,4644.1084391718296,520427.63250000001,4468.2750147909701,21824.379420000001,0.88491112556844598,0.82188756007396302,0.78757260159327602,1.09107324841431,0.93337098100000004,1.040694679,0.94745317600000001,0.85894078037449095,5.0,17.568212087168501,15.7307416156599,611.01635102184002,3942.91839400238,4132.0011510000004,3007.1135853252199,2463.9624982179598,8043.1061841765204,9333.6873972793201
"1996Q3",-332.465778634662,3172.1187500000001,5420.8216804523499,6009.8660406967201,1605.35616746409,1057.62226081942,2254.59000365355,2787.9139433720002,1879.19330422796,1455.70965761705,1573.9526102647401,24.353333330000002,1930.6347760000001,5.0968,5053.9616028124401,528234.00210000004,4792.5532065710004,21599.685310000001,0.90198710649196401,0.83686865662544296,0.81009774142506896,1.3292276808071299,0.92588788799999999,1.0519555469999999,0.94750080699999994,0.90487524302844302,6.0,16.904949351639999,17.465904031216901,651.76953824048599,4365.9830600920004,4646.819391,3382.4766527766801,2790.7569757975202,8886.9763074581897,9893.5330001277998
"1996Q4",-334.66890345843501,3105.8365429999999,5757.66359098061,6221.9721658827702,1587.15040888969,1060.01138201494,2113.9025438517501,2601.8716862615902,1991.0185677014799,1675.4223106468801,1870.8985201353,19.563333329999999,1885.7075,5.0476999999999901,5514.89861632272,540667.23490000004,5299.8910327009798,20869.857980000001,0.925375980071379,0.84984575320960198,0.83586222396997201,1.1313143786102,0.93807205199999999,1.04107324,0.94933637299999996,0.89337307418395495,7.0,15.903030886145901,18.649906449610899,683.61997580725802,4574.5551850571901,4817.9624590000003,3399.2422245011298,2739.9272302652298,8922.5821799757105,9878.1448951202401
"1997Q1",-97.539785876138893,3254.9891299999999,5936.7966904462,6360.2711415841504,1583.1958635380399,1023.7228504352,2231.5567298301798,2458.6194123728201,2319.3135747487299,1875.4700149496,1907.2649232066799,19.08666667,1861.155788,4.7159000000000004,5804.6230322562596,545822.12730000005,5611.8303883858898,21292.645479999999,0.93341880531330901,0.86917096606323396,0.875454481177668,1.21720461415436,0.94057324200000003,1.0336791540000001,0.98165341100000003,0.96032310033759005,8.0,14.896474619737701,11.658372373789399,733.94022724223203,4821.7140795264704,4906.991798,3608.5510106996298,2911.62976624356,9420.3020540312209,9923.7771009016305
"1997Q2",-187.534881611592,2892.3435979999999,6033.6314670322399,6300.1221086810701,1568.8900141756999,1048.3938167901799,2608.1573097958199,2934.58592045362,2405.2858885697301,2011.18171553097,1954.31376992576,16.98,1840.0983080000001,4.5739999999999998,6241.4534754850802,578831.71840000001,5980.4205708958598,21760.569469999999,0.95770071800963497,0.88473088345031103,0.89424702528358202,1.21541447262916,0.94114594500000004,1.0463723890000001,0.98478227200000001,0.969770944276094,9.0,14.7302033450155,15.546170513564499,792.27347864904004,5088.5518516615102,5144.0367180000003,3801.7717025596098,2964.9702950146998,9884.42280797477,10165.103064553001
