obs,A_N_SA,A_R_SA,I_L,L_SA,LT_EUR,P_M_DE_SA,P_M_SA,P_MINO_SA,P_X_SA,Y_R_DE_SA,T
2005Q1,169.9893448,802.2561237,5.146666667,1615.41265,0.289620019,0.969854695,0.917491531,0.889523416,1.016293598,521942.9949,41
2005Q2,530.0297727,704.5033635,4.966666667,1604.972108,0.289620019,0.973018068,0.947393449,0.893341858,1.036930839,535018.8858,42
2005Q3,425.6139765,187.716001,4.78,1598.681642,0.289620019,0.983373849,1.005185321,0.918040954,1.078017127,533066.6752,43
2005Q4,-44.52460472,248.7833726,4.603333333,1606.682554,0.289620019,0.991730152,1.020423396,0.930253398,1.110930497,535124.8997,44
2006Q1,869.7839492,766.2014503,4.41,1591.762508,0.289620019,1.003575498,1.051582834,1.007409746,1.113319619,540238.045,45
2006Q2,32.89328689,-142.2935486,4.7,1587.141575,0.289620019,1.007420954,1.063135613,1.023002405,1.123511077,543805.3705,46
2006Q3,165.2445594,24.76582205,5.06,1591.014633,0.289620019,1.00852384,1.059853972,1.027324455,1.126550708,548220.3613,47
2006Q4,255.6818936,151.5833521,5.27,1582.185442,0.289620019,1.006427082,1.054361039,1.039082591,1.122138372,555522.2919,48
2007Q1,372.4192063,34.11226552,5.593333333,1593.888279,0.289620019,1.004235414,1.066703727,1.052924796,1.134921451,558880.3954,49
2007Q2,1186.612562,621.2232142,6.266666667,1607.714153,0.289620019,1.005746703,1.088806962,1.065944637,1.169649053,557170.5473,50
2007Q3,582.1330696,168.6794854,6.936666667,1610.463669,0.289620019,1.001190871,1.096744149,1.076180242,1.158404142,561285.2337,51
2007Q4,608.4604877,159.3204961,7.793333333,1599.810336,0.289620019,1.009810332,1.14320911,1.089368453,1.226674679,564249.2545,52
2008Q1,435.0956937,1419.135722,7.83,1595.120315,0.289620019,1.021678799,1.18632732,1.097414046,1.312673244,570820.9175,53
2008Q2,-331.1279232,847.6381121,7.57,1595.901442,0.289620019,1.030278098,1.198831684,1.111640994,1.342362128,575631.7282,54
2008Q3,-251.0951086,336.7117223,7.713333333,1620.448717,0.289620019,1.035845458,1.211097023,1.132927407,1.338744556,569039.3348,55
2008Q4,-598.6844412,-167.4293726,9.42,1645.800967,0.289620019,0.994891182,1.155523736,1.125991851,1.262236841,554612.9827,56
2009Q1,-91.38856848,164.6200017,8.156666667,1627.976887,0.289620019,0.967656647,1.104616815,1.126123751,1.182026592,532998.1336,57
2009Q2,106.2903278,246.2295125,7.859287375,1617.805354,0.289620019,0.943103195,1.062272196,1.123179796,1.115291063,527585.4145,58
2009Q3,-34.12155862,112.773252,8.811004928,1611.964565,0.289620019,0.930934709,1.035303819,1.115216781,1.073261143,525745.231,59
2009Q4,163.9529219,205.3917667,8.38358838,1608.589969,0.289620019,0.944120139,1.041269022,1.107436731,1.078974681,534521.6792,60
2010Q1,-121.2017808,-4.386700477,8.242734635,1606.625623,0.289620019,0.954711341,1.04472756,1.098386911,1.081418567,545032.5168,61
2010Q2,-24.56672566,53.14776614,8.196316737,1605.470357,0.289620019,0.963334214,1.046470833,1.088514947,1.081692166,546454.7265,62
2010Q3,-32.48129841,37.46262685,8.181019869,1604.780804,0.289620019,0.970340863,1.046919821,1.078731913,1.080371682,547880.6473,63
2010Q4,-94.93940962,-6.921489106,8.175978836,1604.360418,0.289620019,0.976025264,1.046410416,1.069010921,1.07791319,549310.289,64
2011Q1,37.32154643,72.0146169,8.174317579,1604.096499,0.289620019,0.980631094,1.045208027,1.059620512,1.074673193,550743.6611,65
2011Q2,-71.19756756,-6.540822369,8.173770118,1603.924312,0.289620019,0.984359186,1.04352045,1.050778987,1.070927033,552180.7735,66
2011Q3,-6.299672729,32.84525304,8.173589703,1603.806589,0.289620019,0.987374326,1.041508881,1.042551894,1.066884782,553621.6359,67
2011Q4,-22.38413648,16.59324163,8.173530248,1603.721807,0.289620019,0.989811235,1.039297148,1.035021743,1.062704565,555066.2581,68
2012Q1,-57.89738804,-7.664676258,8.173510655,1603.657477,0.289620019,0.991779751,1.036979336,1.028229814,1.058503557,556514.6499,69
2012Q2,-0.830250808,27.36663473,8.173504198,1603.606302,0.289620019,0.993369214,1.034626006,1.022179797,1.054366903,557966.8212,70
2012Q3,-55.5013062,-10.35609089,8.17350207,1603.563969,0.289620019,0.994652169,1.03228923,1.016863227,1.050354897,559422.7817,71
2012Q4,-18.71456543,13.35152277,8.173501369,1603.527887,0.289620019,0.995687431,1.030006638,1.012253776,1.046508697,560882.5414,72
2013Q1,-27.79485773,5.255653285,8.173501138,1603.496464,0.289620019,0.996522631,1.02780464,1.008312694,1.042854852,562346.1102,73
2013Q2,-41.89074403,-4.096205649,8.173501062,1603.46869,0.289620019,0.997196309,1.025701001,1.004994435,1.039408862,563813.4981,74
2013Q3,-15.31692592,12.32599737,8.173501037,1603.443898,0.289620019,0.997739622,1.023706869,1.002247917,1.036177963,565284.715,75
2013Q4,-42.99600471,-6.454525078,8.173501029,1603.421622,0.289620019,0.998177746,1.021828373,1.000019229,1.033163298,566759.7709,76
