"OBS","B_L","B_L_SA","C_N","C_N_SA","C_R","C_R_SA","CAD_LT","CPI_RU","CPI_RU_SA","D971014","E","E_SA","E_SAL","E_SAL_SA","EUR_LT","G_N","G_N_SA","G_R","G_R_SA","G_R_SA_0","G_R_SA_0M","G_R_SA_0S","I_ILG","I_L","I_N","I_N_SA","I_R","I_R_SA","L","L_SA","LT_EUR","M_DE","M_DE_SA","M_N","M_N_SA","M_NO","M_NO_SA","M_O","M_O_SA","M_R","M_R_SA","M_RU","M_RU_SA","MEA","MEA12","MEA12_SA","MEA13","MEA13_SA","MEA15","MEA15_SA","MEA16","MEA16_SA","MEA_SA","MEU15","MEU15_SA","MEU25","MEU25_SA","MEU27","MEU27_SA","P_C","P_C_SA","P_CPI","P_CPI_SA","P_DE_SA","P_G","P_G_SA","P_I","P_I_SA","P_M","P_M_DE","P_M_DE_SA","P_M_SA","P_MINO","P_MINO_SA","P_MIO","P_MIO_SA","P_OIL","P_OIL_SA","P_PPI","P_PPI_SA","P_SSKI","P_SSKI_SA","P_X","P_X_SA","P_XINO","P_XINO_SA","P_XIO","P_XIO_SA","P_Y","P_Y_SA","QM","QM_SA","RUB_LT","T","U","U_SA","USD_LT","W_B","W_B_SA","X_N","X_N_SA","X_NO","X_NO_SA","X_O","X_O_SA","X_R","X_R_SA","X_RU","X_RU_SA","Y_DU","Y_DU_SA","Y_INDEX_DE","Y_INDEX_DE_SA","Y_MISR","Y_MISR_SA","Y_N","Y_N_DE","Y_N_DE_SA","Y_N_RU","Y_N_RU_SA","Y_N_SA","Y_N_SA_SA","Y_R","Y_R_DE","Y_R_DE_SA","Y_R_SA"
"1995Q1",3899.5,3951.35218367279,3691.643,3864.37194457852,4887.0709999999999,5224.8224952571099,2.8538333333333337,14.9922,14.895763040943301,0.0,1630.8,1641.48174110893,1176.367,1170.02052704224,4.4168512000000018,1077.9480000000001,1224.3212005376199,1886.463,2176.70468250464,2176.70468250464,2176.70468250464,,24.566666666666666,28.286666666666665,939.74000000000001,1226.39500817773,926.90200000000004,1225.50728761287,1945.997625,1947.3403873623499,0.22640563485588999,110580.3,113392.285581627,3504.8130000000001,3729.5005050198101,2264.0700000000002,2456.4631115141401,828.09000000000003,804.74326061851298,3451.4929999999999,3693.09294737868,16795.0,18366.297052532002,368244.40000000002,374886.29999999999,376836.92616053199,376786.0,378830.02778661699,378259.90000000002,380381.171669957,380197.5,382405.77760633599,369709.82402585598,460569.5,462463.08305634302,481304.09999999998,484323.21814490901,484320.40000000002,487465.49844551901,0.75538968023996378,0.73961784311073653,0.60445233333333337,0.59613438331188895,1.0225078357381714,0.57141221428673672,0.56246546000390207,1.0138504394207801,1.0007243698783621,1.0154483871182702,0.98499999999999999,0.98458270885664401,1.0098582836012757,,,,,164.63,168.17864201542599,,,0.66094750000000002,0.66382818557263501,0.8125071353052421,0.80857235893387791,,,,,0.64487160179614422,0.63727627814799126,1630.0999999999999,1659.0040031859,0.00090233333333333344,1.0,16.1972255747229,15.701561910329,4.0,409.69999999999999,420.90304421291899,2619.0419999999999,2788.3971141652901,1987.0733,2153.5065119096598,224.7629,242.54284072716399,3223.4079999999999,3448.5436997152101,21095.0,22982.5003328606,2056.4609999999998,2244.55124914722,88.189999999999998,90.615746191290697,1878.4069999999999,2233.0918780519901,5138.4530000000004,460229.5,477756.42534421303,234.97800000000001,257.36933242824801,5711.0575689042098,5726.1814137623896,7968.1800000000003,454729.70000000001,467239.867163766,8961.6666502969401
"1995Q2",4043.5,4065.2057609767899,4007.328,4150.7287213687696,5330.8000000000002,5557.2406272851003,2.9197000000000002,19.140999999999998,19.1466288464066,0.0,1632.5222808272199,1633.04842444319,1083.2909999999999,1080.7974579687,4.4168512000000018,1347.5699999999999,1246.13830634081,2112.808,2051.0506262683398,2051.0506262683398,2051.0506262683398,,20.413333333333334,26.656666666666666,1406.4449999999999,1370.63694833564,1458.8430000000001,1422.83264847947,1966.46642045454,1970.0408117448501,0.22640563485588999,113263.2,112994.30776995599,3634.0279999999998,3697.97543515692,2517.3200000000002,2510.0959428138499,620.50999999999999,679.88964133346303,3638.181,3638.0156256136502,19666.0,19664.139901107301,374408.90000000002,381089.0,377271.98537723703,383298.20000000001,379354.004329419,384861.29999999999,380878.55328272999,386941.90000000002,382889.10205598798,370752.92813346302,471390.09999999998,466101.857261036,494024.90000000002,488429.17290085898,497488.79999999999,491798.10268590198,0.75173107225932312,0.74690462403038693,0.63826500000000008,0.63507146834054795,1.0399863118165202,0.63780996664154999,0.60756096918388658,0.96408249551185421,0.96331564348090437,0.99885849549541372,0.98199999999999998,0.9798276043095,1.0164814601457781,,,,,171.13333333333301,175.54117331933099,,,0.68940566666666658,0.69036816971466597,0.87836176350322581,0.85924890798136266,,,,,0.69687594985769497,0.68615073804185089,1687.4000000000001,1700.1097913819401,0.00082199999999999992,2.0,16.981939592445698,17.030396699765902,4.0,468.19999999999999,466.90175683349901,3146.9549999999999,3116.9866625119498,2333.6268,2382.7888549188501,281.89510000000001,271.06603099711401,3582.7550000000001,3627.5712818008701,23388.0,24115.010509932101,2488.8440000000001,2403.0934760502801,90.280000000000001,90.521437316378794,2203.0479999999998,2356.78432133664,6091.6999999999998,481105.5,485415.291290019,324.25200000000001,335.41821457939301,6178.0047790241897,6220.9010324545898,8741.4410000000007,465506.29999999999,466751.61564593599,9003.8594094573
"1995Q3",4141.3000000000002,4112.91824866767,4422.0039999999999,4355.5315543819497,5907.7079999999996,5812.2496032798299,2.9593666666666665,22.549700000000001,22.723342382676901,0.0,1634.1177662554401,1619.5734911575601,1060.662,1061.5889078482701,4.4168512000000018,1372.652,1413.90014322397,2342.8589999999999,2232.5746707927101,2232.5746707927101,2232.5746707927101,,16.216666666666669,27.246666666666666,1406.6859999999999,1280.2470837109199,1372.7070000000001,1263.3156684409901,1979.4000000000001,1971.8731557011499,0.22640563485588999,113786.60000000001,112717.528104962,3858.3919999999998,3937.0293706780899,2628.5100000000002,2718.4366685083,674.09000000000003,716.33280453347902,3877.8600000000001,3944.7096145672599,22051.0,21400.849921789901,359832.59999999998,366261.40000000002,375684.06223524601,368243.79999999999,377733.328397826,369821.29999999999,379281.33282572101,371859.79999999999,381376.097999844,369354.34436483198,458307.40000000002,467865.43947468401,480467.09999999998,490529.684360062,483714.09999999998,493960.49195591698,0.74851431384218725,0.74937104420363165,0.67085933333333325,0.676452008936966,1.0341164492460921,0.58588758435740274,0.63330474976764961,1.0247532794689616,1.0134023630774913,0.99497970530137747,0.96999999999999997,0.96815454439290605,0.99805302680308638,,,,,153.95666666666699,154.343511544758,,,0.74575266666666662,0.740696509242464,0.85081697500699838,0.85765345090315392,,,,,0.74536520109127302,0.75249979123873934,1790.5999999999999,1779.85969676133,0.00089733333333333332,3.0,17.4437826485077,17.972298053691102,4.0,511.30000000000001,509.43420215243702,3464.8159999999998,3333.9502461520701,2511.4920000000002,2427.4862133341699,397.63159999999999,383.50581096954801,4072.3400000000001,3887.2929883757201,23154.0,22866.8181289686,2589.8229999999999,2571.0969362025999,91.519999999999996,90.360271948155599,3308.2840000000001,2691.3953945017602,7473.9170000000004,487238.79999999999,481814.720748224,421.06,394.157223357416,6821.5280174166401,6754.3438810882599,10027.188,471900.0,465919.211612468,9065.1560264053696
"1995Q4",4084.8000000000002,4039.1711622389298,4953.7910000000002,4652.8983617100102,6675.8429999999998,6134.5637745185204,2.9386000000000005,25.682300000000001,25.681701266105701,0.0,1620.25375469337,1623.79321153722,1042.23,1049.0170065473501,4.4168512000000018,1834.7950000000001,1722.13272805867,2613.5479999999998,2491.46685739648,2491.46685739648,2491.46685739648,,12.443333333333333,26.896666666666665,1706.787,1539.08722553147,1690.1189999999999,1493.34991688898,1972.7576700228999,1975.69772283098,0.22640563485588999,115578.0,114061.662321336,4645.71,4220.8118399391797,3194.1399999999999,2878.07054032725,889.35000000000002,793.02632267840795,4580.643,4221.9824555037903,24296.0,23020.7106603471,382652.70000000001,389616.59999999998,381818.390980064,391783.0,383948.96856094501,393362.70000000001,385517.85428337898,395631.70000000001,387711.15127690998,375138.57574099803,483003.20000000001,476486.29339455097,507880.70000000001,499999.842992872,511788.5,503677.28346895002,0.74204725905028024,0.7584725716010996,0.72918299999999991,0.73643804833787796,1.0365395041152441,0.70203225653402967,0.69121237673546865,1.0098620274667052,1.0306273219191469,1.0142047743078866,0.96700000000000008,0.97121745578270102,0.9997227332001144,,,,,159.63999999999999,151.75476711993301,,,0.77262533333333339,0.77332780335231199,0.84081631975629811,0.85633659241695737,,,,,0.75501719837260928,0.76580394170264365,1666.0999999999999,1636.7324680879599,0.0008743333333333333,4.0,17.868586734499701,17.886434853802999,4.0,577.5,565.92004048438605,3546.2370000000001,3505.56196745123,2698.8375999999998,2547.6594721595602,384.74610000000001,385.96709215553398,4217.6120000000001,4093.67297683379,25350.0,23028.001501842398,2884.7330000000002,2771.5070108751402,92.170000000000002,90.699529447776598,2735.8009999999999,2751.3132939285902,7252.3630000000003,501168.5,484755.97293361998,448.233,426.64058828114997,7116.0118451777698,7115.4900984750502,9605.5599999999995,475251.59999999998,467667.62965526502,9292.2110447178493
"1996Q1",3773.9000000000001,3824.44532605733,4768.009,5000.0875974045703,5566.5079999999998,5946.38404913057,2.9140999999999999,28.4847,28.222132458426401,0.0,1607.90687764467,1618.2767276053801,1135.0519999999999,1129.7235283677201,4.4168512000000018,1444.8579999999999,1636.99659132489,1909.704,2184.8402214499001,2184.8402214499001,2184.8402214499001,,12.983333333333334,23.916666666666668,1232.7950000000001,1608.8623740294099,1174.0409999999999,1554.0428251686601,1970.05090017614,1970.7341679362801,0.22640563485588999,112748.3,115697.385540595,4364.0609999999997,4677.2624815544395,2649.2909999999997,2884.86234151285,776.26099999999997,763.38137485566097,4207.9870000000001,4531.2423878893997,20627.0,22609.472087727099,384913.59999999998,392145.09999999998,394350.04217730899,394108.40000000002,396411.60003755399,395658.79999999999,398046.59544958401,398169.0,400646.97709225398,386516.44217702799,485231.09999999998,487570.814765852,509935.09999999998,513483.48986816499,513393.40000000002,517087.33266090899,0.85655297719863155,0.84086186766487792,0.79450399999999988,0.78465159712849797,1.0301309807876313,0.75658740831039784,0.74925231385503743,1.0500442488805759,1.0352754428468214,1.0370899434812892,0.96599999999999997,0.96597724031201204,1.0322251782547114,1.26124796833773,1.2466115938115201,0.68708400000000003,0.68361021720210002,175.29333333333301,180.08832296388101,0.80761666666666665,0.80773715451521999,0.79843233333333341,0.80233911608334796,0.9181999463874152,0.91227877568435378,0.84105347671695796,0.83766738268394603,0.70357800000000004,0.71031296005963496,0.80438343495635345,0.79624827547073429,1345.9000000000001,1369.9494226966001,0.00083316666666666663,5.0,18.3824703462782,17.759589911090998,4.0,582.89999999999998,599.19202141737003,3730.1680000000001,3972.0540634570998,2052.5055000000007,2209.6296797557602,379.488,411.38530238794499,4062.4789999999998,4353.9915312371804,23384.0,25533.406407957998,2684.732,2930.6007295118002,88.290000000000006,90.653278945968395,2377.6709999999998,2830.4328390027599,6739.0110000000004,464209.59999999998,481517.52087003499,425.28899999999999,464.95124108750002,7505.7141985074704,7533.2895156043996,8377.8590000000004,455245.29999999999,467433.29717340402,9426.3490794628906
"1996Q2",3728.7999999999997,3745.47242499203,5105.2290000000003,5283.6023435657999,5767.723,6016.5423205370698,2.9313666666666669,30.3447,30.397448244041001,0.0,1612.30308023919,1613.28063657659,1075.191,1072.98774672628,4.4168512000000018,1856.222,1709.8171901533401,2255.634,2186.4453138867598,2186.4453138867598,2186.4453138867598,,10.996666666666668,23.116666666666664,1675.5889999999999,1633.7741739661601,1605.0920000000001,1565.3509707554099,1953.9078937823101,1957.7610939425499,0.22640563485588999,113221.39999999999,112926.421682703,4582.4970000000003,4644.1497755683204,2781.8707000000009,2767.2479585722999,625.67600000000004,676.00864119596702,4485.4070000000002,4468.2982247584196,21915.0,21824.3859962924,384082.0,391364.90000000002,387502.35379937,393588.5,389593.99206381402,395240.0,391203.395037868,397764.79999999999,393661.60024288303,380394.94675747101,491566.0,486168.137858767,518035.09999999998,512285.81360260898,521623.09999999998,515777.21918093198,0.88513768778424351,0.87817920361510171,0.82597066666666663,0.82188766973065697,1.0171007193833936,0.82292694648156572,0.78200775445595927,1.0439208469047256,1.0437110938626948,1.0216457503187559,0.96200000000000008,0.95965488483886496,1.0393553746783337,1.19139355582937,1.2044344847075199,0.67602300000000004,0.69034562090542895,182.68666666666701,187.343535395347,0.81588166666666662,0.825132293854833,0.82334933333333327,0.82398975887723902,0.97130526104414727,0.95239240952626492,0.79578730403585096,0.80775026348368395,0.69704100000000002,0.71906932124515399,0.8686540705461856,0.85212756471250539,1240.3,1245.9472515405901,0.00079726666666666667,6.0,17.4831584759023,17.568243453044399,4.0,612.79999999999995,611.01517315146396,3976.0410000000002,3935.28396987623,1948.7378999999996,1990.10500812493,407.57509999999996,388.62966782665399,4093.5030000000002,4131.9984604179099,25114.0,25870.261840991199,3114.5709999999999,3007.1137371581099,90.969999999999999,91.243163818723204,2783.1149999999998,2954.82404024679,7730.3680000000004,474179.90000000002,478518.97736627399,468.41899999999998,484.07762417443701,7802.9425701233504,7846.7753904501196,8899.2479999999996,469064.09999999998,470473.541358196,9157.0122752171992
"1996Q3",3819.0999999999999,3793.44934010312,5489.8149999999996,5394.0136275331497,6169.1499999999996,6047.2698706423398,2.9220333333333333,30.948699999999999,31.212825924104401,0.0,1620.4000000000001,1605.3598742981701,1058.181,1057.6223887409201,4.4168512000000018,1932.0039999999999,2009.9257504591701,2629.5450000000001,2526.7158046576501,2526.7158046576501,2526.7158046576501,,13.546666666666667,24.353333333333335,1840.903,1675.5953055360401,1714.075,1570.8394706109,1937.8,1930.63488651292,0.22640563485588999,115965.7,114834.332012089,4972.5770000000002,5053.9870862606704,2991.3168000000001,3086.24998794873,833.45280000000002,884.78809809177301,4730.3339999999998,4792.5481846555804,22227.0,21599.6897474586,375530.29999999999,382799.09999999998,392443.80217556702,384911.40000000002,394631.398297187,386576.20000000001,396266.03782348899,389175.90000000002,398937.45191192499,385339.47246703203,481714.09999999998,491377.15055522701,508837.5,519084.219667572,512115.40000000002,522539.04830593598,0.8898819124190529,0.89197501400085499,0.83073033333333324,0.83686782750046995,1.0204516936766701,0.73472939234734524,0.79546965541362058,1.0739920948616601,1.0666878041232313,1.0512105487688608,0.95700000000000007,0.95509457193298897,1.0545511263594898,1.24862176391631,1.2637998797326,0.68172100000000002,0.68122127526840703,196.37666666666701,195.599450763812,0.84309866666666666,0.84282522022081896,0.85571366666666659,0.85001368341948802,0.92934456759980422,0.93581350726176027,0.79220167889155801,0.81187671873802503,0.733931,0.72351564924383505,0.8634344127180803,0.87721837878084774,1211.9000000000001,1204.8626305190701,0.00075273333333333338,7.0,16.3793993188151,16.905079737723199,4.0,654.60000000000002,651.76738330916305,4524.567,4348.5435464709399,2258.3986000000004,2187.5775866601898,565.06919999999991,545.41707974706901,4868.5569999999998,4646.8057072557203,25883.0,25527.741489814001,3407.4879999999998,3382.4763985906702,93.040000000000006,91.857090999900507,3918.0230000000001,3206.5467554039101,9365.6039999999994,488657.09999999998,483323.63575918,548.87800000000004,514.08580403850499,8594.4920526556707,8519.9274908597399,10846.92,479737.5,473636.95778461901,9797.4372864830293
"1996Q4",3847.4000000000001,3808.9576178994298,6133.7690000000002,5774.2179263007401,6777.7780000000002,6260.1316151640904,2.9561666666666664,31.909700000000001,31.920463383443899,0.0,1583.2727470945999,1587.13591104745,1053.422,1060.01160461529,4.4168512000000018,2018.0,1889.62164018096,2396.2950000000001,2287.9564367630401,2287.9564367630401,2287.9564367630401,,12.303333333333335,19.563333333333333,2152.3049999999998,1939.72779625158,2102.3989999999999,1867.1832947595699,1882.67531408489,1885.7072574194599,0.22640563485588999,119128.7,117565.04044219,6049.8580000000002,5514.9335502980002,3825.3854999999985,3453.5204703047998,1048.2731999999999,940.17316930673201,5726.3699999999999,5299.8761787248995,21988.0,20869.860935704401,403228.09999999998,411217.0,402990.60545304301,413396.0,405131.42959146801,415098.59999999998,406820.632115855,418137.5,409751.77584043198,395312.600606199,517125.5,510014.13404544402,546584.19999999995,537985.60561764101,550373.69999999995,541534.23046794196,0.90498228180385965,0.92237963692547487,0.84233999999999998,0.84984510506820499,1.0082486200104779,0.84213337673366595,0.82589930901584951,1.0237376444718629,1.0388523728203938,1.0564909357935306,0.94999999999999996,0.95413596024412595,1.0405778105602539,1.23542721505395,1.2214117423459301,0.68367599999999995,0.67259507802837104,215.636666666667,205.68702579571499,0.88168666666666651,0.87175546658230696,0.87051400000000001,0.87122094611767498,0.93967496153381969,0.95628181774660359,0.83565955572849904,0.80778506554205598,0.77874399999999999,0.75869816525021205,0.88452675663986591,0.89180956411915946,1323.8,1306.73053726784,0.00072583333333333321,8.0,15.903037807441599,15.9028423129822,4.0,697.29999999999995,683.62327859468905,4648.152,4607.3389030772796,2371.8279000000011,2253.3031768000701,637.98820000000001,645.93355591407305,4946.5529999999999,4817.9718756277098,28584.0,26010.332425823501,3536.3000000000002,3399.24519703955,93.450000000000003,92.022589512114195,3215.0970000000002,3234.5200637937201,8904.6599999999999,494293.09999999998,478403.00617082202,565.24000000000001,540.05942526201204,8710.3079436329008,8705.7756501730091,10067.146000000001,481851.59999999998,474489.12567403301,9767.0044077583698
"1997Q1",3931.7999999999997,3982.3256474521199,5647.4049999999997,5938.5071505321403,5998.5870000000004,6401.55423066197,2.9374333333333333,33.673699999999997,33.243236345750098,1.0,1573.0475958243901,1583.1946953148299,1025.827,1023.72244707496,4.4168512000000018,1798.8699999999999,2025.1145559506001,2025.8130000000001,2286.1262606850901,2286.1262606850901,2286.1262606850901,,16.646666666666665,19.086666666666662,1617.9690000000001,2105.5912694482799,1442.9290000000001,1903.2694761258699,1861.4381678050199,1861.1546369007799,0.22640563485588999,116818.10000000001,119933.66615689101,5376.7079999999996,5804.4467493685497,3422.5360000000014,3747.7629194097899,941.90170000000001,938.23116939136696,5178.8549999999996,5611.8133253409696,19402.0,21292.6241971936,398862.09999999998,406964.0,409427.25783485902,409081.59999999998,411642.59946130699,410659.40000000002,413311.67549719999,413607.29999999999,416354.76122431399,400599.59503182699,511804.70000000001,514714.04357187398,541009.5,545235.71139509301,544355.19999999995,548747.95164927002,0.94145587952629495,0.92766645982440621,0.87822,0.86917280536279795,1.0014559932857754,0.88797435893638743,0.88582795743911724,1.1213088100661917,1.1063022319541627,1.03820400455313,0.95900000000000007,0.95935666260001995,1.034326413381877,1.2277941544708399,1.2143581115281099,0.71824500000000002,0.71581918376567799,197.15000000000001,203.22494417580501,0.88769633333333331,0.888574494551159,0.88854433333333349,0.89394934864860198,0.98828601835199215,0.98123853815102924,0.77391248394694401,0.77008309397819197,0.79635599999999995,0.80488770109299101,0.9427751416237089,0.93713345811475146,1441.9000000000001,1464.9568624035501,0.00070416666666666663,9.0,15.4928902269525,14.8964742160372,4.0,713.39999999999998,733.94502446153103,4522.4660000000003,4814.9485209805698,2226.0783000000001,2369.0231077112699,562.21669999999995,608.01483832778501,4576.0699999999997,4907.01122486841,23219.0,25355.979789856501,3307.8629999999998,3608.5456736142801,88.780000000000001,91.027685191390503,2821.4259999999999,3364.2208557796798,8281.1859999999997,453898.40000000002,470047.07460855599,512.36900000000003,557.15228082307999,9259.9012739493992,9299.7969039514792,8783.8400000000001,457771.90000000002,469363.684235722,9881.09131497419
"1997Q2",3812.3000000000002,3823.6662264182801,5819.4970000000003,6002.9609733345296,6089.5640000000003,6341.4985022131495,2.8852666666666664,34.833599999999997,34.979247245738001,1.0,1568.05872431834,1568.90508459987,1051.2339999999999,1048.3934605783199,4.4168512000000018,2607.567,2395.1745093489599,2763.0070000000001,2674.0916140702102,2674.0916140702102,2674.0916140702102,,16.013333333333332,16.98,2176.5529999999999,2129.54972710938,1992.2360000000001,1950.4261569835301,1835.89147859735,1840.09884384525,0.22640563485588999,124430.7,124143.98674517599,6199.3320000000003,6241.5706249498198,4027.8971999999985,3984.12828239899,1002.1908000000001,1060.6127953789801,6044.8159999999998,5980.4722473239799,21931.0,21760.583109528401,424720.79999999999,433387.0,429112.49513344403,435868.0,431455.58583817497,437675.20000000001,433214.43871809298,440946.20000000001,436430.59397478099,420681.65333379898,550643.80000000005,544957.11382078996,582948.5,576840.83832410001,587185.90000000002,580975.59109309805,0.95565084790963684,0.94661553120914999,0.88872299999999993,0.88473095707509697,0.99437397479310319,0.94374245161159565,0.89569650371973863,1.0925176535310073,1.0918381705887688,1.0255617375284873,0.96200000000000008,0.95944647500646096,1.0436584882979218,1.2175386995790001,1.23069396725436,0.70302600000000004,0.71928973731324997,173.64666666666699,178.534115467356,0.87209766666666666,0.88139281180116702,0.91343733333333332,0.91293124163052997,1.0030208501722351,0.98629311605845116,0.76016149801723398,0.77170329485142497,0.76442299999999996,0.788953957610117,0.98773287584615743,0.96316723526580106,1344.2,1343.2953076661299,0.00069459999999999997,10.0,14.5887029490237,14.7303381615224,4.0,795.20000000000005,792.26575785635703,5137.5410000000002,5073.5123065211801,2426.4673000000003,2476.6954577842998,784.3288,742.318721566921,5122.0680000000002,5144.0208026561004,23721.0,24435.431822364098,3941.9189999999999,3801.77744100361,93.510000000000005,93.840489010757807,3291.21,3436.6149395891698,9755.4040000000005,476425.40000000002,481144.75542069401,555.077,573.68538871066698,9747.8118392079105,9780.1031484479499,9876.5609999999997,482160.90000000002,483867.00337848702,10120.5808112003
