"Date","B_L_SA","C_N_SA","C_R_SA","D971014","D984994","E_SA","E_SAL_SA","G_N_SA","G_R_SA","I_ILG","I_L","I_N_SA","I_R_SA","L_SA","M_N_SA","M_R_SA","MEA_SA","P_C_SA","P_CPI_SA","P_DE_SA","P_G_SA","P_I_SA","P_M_SA","P_MINO_SA","P_PPI_SA","P_X_SA","P_Y_SA","QM_SA","T","U_SA","W_B_SA","X_N_SA","X_R_SA","Y_DU_SA","Y_MISR_SA","Y_N_SA","Y_R_ADD","Y_R_DE_SA","Y_R_SA"
"1995Q1",3951.35218367279,3864.37194457852,5224.8224952571099,0.0,0.0,1641.48174110893,1170.02052704224,1224.3212005376199,2176.70468250464,24.566666666666599,28.286666666666601,1226.39500817773,1225.50728761287,1947.3403873623499,3729.5005050198101,3693.09294737868,369709.82402585598,0.73961784311073597,0.59613438331188795,1.0225078357381701,0.56246546000390196,1.0007243698783601,1.0098582836012699,,,0.80857235893387702,0.63727627814799104,1659.0040031859,1.0,15.701561910329,420.90304421291802,2788.3971141652901,3448.5436997152101,2244.55124914722,2233.0918780519901,5711.0575689042098,579.18143258579005,467239.867163766,8961.6666502969401
"1995Q2",4065.2057609767899,4150.7287213687596,5557.2406272851003,0.0,0.0,1633.04842444319,1080.7974579687,1246.13830634081,2051.0506262683398,20.413333333333298,26.656666666666599,1370.63694833564,1422.83264847947,1970.0408117448501,3697.97543515692,3638.0156256136502,370752.92813346302,0.74690462403038604,0.63507146834054695,1.03998631181652,0.60756096918388602,0.96331564348090404,1.0164814601457699,,,0.859248907981362,0.68615073804185001,1700.1097913819401,2.0,17.030396699765902,466.90175683349901,3116.9866625119498,3627.5712818008701,2403.0934760502801,2356.78432133664,6178.0047790241897,-16.8201487628302,466751.61564593599,9003.8594094573
"1995Q3",4112.91824866767,4355.5315543819397,5812.2496032798299,0.0,0.0,1619.5734911575601,1061.5889078482701,1413.90014322397,2232.5746707927101,16.216666666666601,27.246666666666599,1280.2470837109199,1263.3156684409901,1971.8731557011499,3937.0293706780899,3944.7096145672599,369354.34436483198,0.74937104420363099,0.676452008936965,1.0341164492460899,0.63330474976764894,1.01340236307749,0.99805302680308605,,,0.85765345090315304,0.752499791238739,1779.85969676133,3.0,17.972298053691102,509.43420215243702,3333.9502461520701,3887.2929883757201,2571.0969362025999,2691.3953945017602,6821.5280174166401,-185.56728991662001,465919.211612468,9065.1560264053696
"1995Q4",4039.1711622389298,4652.8983617100102,6134.5637745185204,0.0,0.0,1623.79321153722,1049.0170065473501,1722.13272805867,2491.46685739648,12.4433333333333,26.896666666666601,1539.08722553147,1493.34991688898,1975.69772283098,4220.8118399391797,4221.9824555037903,375138.57574099803,0.75847257160109904,0.73643804833787796,1.0365395041152401,0.69121237673546798,1.03062732191914,0.99972273320011396,,,0.85633659241695703,0.76580394170264299,1636.7324680879599,4.0,17.886434853802999,565.92004048438605,3505.56196745123,4093.67297683379,2771.5070108751402,2751.3132939285902,7116.0118451777698,-698.86002541613004,467667.62965526502,9292.2110447178402
"1996Q1",3824.44532605733,5000.0875974045703,5946.38404913057,0.0,0.0,1618.2767276053801,1129.7235283677201,1636.99659132489,2184.8402214499001,12.983333333333301,23.9166666666666,1608.8623740294099,1554.0428251686601,1970.7341679362801,4677.2624815544395,4531.2423878893997,386516.442177027,0.84086186766487703,0.78465159712849797,1.03013098078763,0.74925231385503699,1.03527544284682,1.0322251782547101,1.2466115938115201,0.80773715451521999,0.912278775684353,0.79624827547073396,1369.9494226966001,5.0,17.759589911090998,599.19202141737003,3972.0540634570998,4353.9915312371804,2930.6007295118002,2830.4328390027599,7505.7141985074704,-81.667159634018404,467433.29717340402,9426.3490794628906
"1996Q2",3745.47242499203,5283.6023435657999,6016.5423205370598,0.0,0.0,1613.28063657659,1072.98774672628,1709.8171901533401,2186.4453138867598,10.9966666666666,23.1166666666666,1633.7741739661601,1565.3509707554099,1957.7610939425499,4644.1497755683204,4468.2982247584096,380394.94675747101,0.87817920361510104,0.82188766973065697,1.0171007193833901,0.78200775445595905,1.0437110938626899,1.0393553746783299,1.2044344847075199,0.825132293854833,0.95239240952626403,0.85212756471250495,1245.9472515405901,6.0,17.568243453044399,611.01517315146305,3935.28396987623,4131.9984604179099,3007.1137371581099,2954.82404024679,7802.9425701233504,-275.02656562152998,470473.541358196,9157.0122752171901
"1996Q3",3793.44934010312,5394.0136275331497,6047.2698706423398,0.0,0.0,1605.3598742981701,1057.6223887409201,2009.9257504591701,2526.7158046576501,13.546666666666599,24.3533333333333,1675.5953055360401,1570.8394706109,1930.63488651292,5053.9870862606704,4792.5481846555804,385339.47246703203,0.89197501400085499,0.83686782750046895,1.0204516936766701,0.79546965541362002,1.0666878041232299,1.05455112635949,1.2637998797326,0.84282522022081896,0.93581350726176005,0.87721837878084696,1204.8626305190701,7.0,16.905079737723199,651.76738330916305,4348.5435464709399,4646.8057072557203,3382.4763985906702,3206.5467554039101,8594.4920526556707,-201.645382028,473636.95778461901,9797.4372864830202
"1996Q4",3808.9576178994298,5774.2179263007401,6260.1316151640904,0.0,0.0,1587.13591104745,1060.01160461529,1889.62164018096,2287.9564367630401,12.303333333333301,19.563333333333301,1939.72779625158,1867.1832947595699,1885.7072574194599,5514.9335502980002,5299.8761787248905,395312.600606199,0.92237963692547398,0.84984510506820499,1.0082486200104701,0.82589930901584896,1.03885237282039,1.0405778105602499,1.2214117423459301,0.87175546658230696,0.95628181774660304,0.89180956411915902,1306.73053726784,8.0,15.9028423129822,683.62327859468905,4607.3389030772696,4817.9718756277098,3399.24519703955,3234.5200637937201,8710.3079436329008,-166.36263583114101,474489.12567403301,9767.0044077583607
"1997Q1",3982.3256474521199,5938.5071505321403,6401.55423066197,1.0,0.0,1583.1946953148299,1023.72244707496,2025.1145559506001,2286.1262606850901,16.646666666666601,19.086666666666599,2105.5912694482799,1903.2694761258699,1861.1546369007799,5804.4467493685497,5611.8133253409696,400599.59503182699,0.92766645982440599,0.86917280536279795,1.0014559932857701,0.88582795743911702,1.10630223195416,1.0343264133818699,1.2143581115281099,0.888574494551159,0.98123853815102902,0.93713345811475102,1464.9568624035501,9.0,14.8964742160372,733.94502446153001,4814.9485209805698,4907.01122486841,3608.5456736142801,3364.2208557796798,9259.9012739493901,-5.0565520261807197,469363.684235722,9881.09131497419
"1997Q2",3823.6662264182801,6002.9609733345296,6341.4985022131495,1.0,0.0,1568.90508459987,1048.3934605783199,2395.1745093489599,2674.0916140702102,16.0133333333333,16.98,2129.54972710938,1950.4261569835301,1840.09884384525,6241.5706249498098,5980.4722473239799,420681.65333379898,0.94661553120914999,0.88473095707509697,0.99437397479310297,0.89569650371973797,1.0918381705887601,1.0436584882979201,1.23069396725436,0.88139281180116702,0.98629311605845105,0.96316723526580095,1343.2953076661299,10.0,14.7303381615224,792.26575785635703,5073.5123065211801,5144.0208026561004,3801.77744100361,3436.6149395891698,9747.8118392079105,-8.9840173987122292,483867.00337848702,10120.5808112003
