"obs","AKT_R_SA","IL_M1","L_SA","LT_EUR","M_R_EU15_SA","M_RU_USD_SA","P_M_EU15_SA","P_M_SA","P_X_SA","T","X_R_SA","BP_IM_SA","G_N_SA"
"1995Q1",420.00966142712701,28.286666669999999,1947.3409132875599,5.0932000000000004,498247.91189415002,18366.300706104601,0.92616702606611601,1.01035809825582,0.80748866047338197,0.0,3448.5415346479299,3436.9870680239601,1488.7379235895901
"1995Q2",-239.31286448120201,26.65666667,1970.0397071935199,5.3239999999999998,504447.12811840902,19664.139451900999,0.92452731522322595,1.01657583813263,0.85443802438762195,1.0,3627.5746699145302,3565.9617557460001,1479.2511429078099
"1995Q3",-374.24433284542198,27.24666667,1971.8731600293399,5.24969999999999,505307.68701320101,21400.844641892199,0.923139103061135,0.99645771093062196,0.86750004775580702,2.0,3887.2978948421,3592.6755506293698,1652.0029234338001
"1995Q4",-997.50400431106095,26.896666669999998,1975.6981309874,5.2693999999999903,511531.21900412999,23020.7089089047,0.92770362436610398,1.00001308792529,0.853256574910355,3.0,4093.66768520806,3484.8843553380502,1948.55206494513
"1996Q1",-163.13175510296699,23.916666670000001,1970.7350149434201,5.1493000000000002,522961.793544674,22609.485637686001,0.93137406372512599,1.0320497317086199,0.91193977271177495,4.0,4353.9858207194002,3316.1849749289199,1888.0978779954
"1996Q2",-369.68562241314203,23.116666670000001,1957.7598579779899,5.0179999999999998,520427.63254844298,21824.379423905099,0.93337098071240399,1.0406946790710001,0.94745317553891595,5.0,4132.0011512682404,3217.30815368596,1955.24057517444
"1996Q3",-332.465778518082,24.353333330000002,1930.63477568299,5.0968,528234.00207031204,21599.685305696199,0.92588788772224495,1.0519555465875801,0.947500806620452,6.0,4646.8193908834201,3172.11874966808,2254.59000365355
"1996Q4",-334.668903701685,19.563333329999999,1885.7074998344399,5.0476999999999901,540667.23493247002,20869.857982215799,0.93807205241958402,1.04107324047951,0.94933637277768201,7.0,4817.9624592432501,3105.8365431735801,2113.9025438517501
"1997Q1",-97.539785934319298,19.08666667,1861.1557877975399,4.7159000000000004,545822.12731935002,21292.645483917498,0.94057324246198803,1.0336791540824699,0.98165341066523903,8.0,4906.9917980581804,3254.9891304144899,2231.5567298301798
"1997Q2",-187.53488150127299,16.98,1840.09830804118,4.5739999999999998,578831.71838542796,21760.569471908799,0.941145945237429,1.0463723893500001,0.98478227220288395,9.0,5144.0367178896804,2892.3435977199701,2608.1573097958199
"1997Q3",-208.08220505006699,14.66333333,1820.7853823686,4.3733000000000004,589507.697376878,23609.238778004299,0.95130122430562003,1.0425964956548599,0.98238940024763,10.0,5388.8652387623597,2908.92253538056,2618.9966618837502
"1997Q4",172.55740549790701,12.596666669999999,1810.9552308601999,4.4935999999999998,602968.80141075701,25086.723761967402,0.94826585244644901,1.05241774752535,0.96750304719019997,11.0,5897.7855649169896,3250.33728193346,2370.5760033274701
"1998Q1",-364.787040536039,13.210000000000001,1761.16653162285,4.3471000000000002,619999.84899502201,24063.146431633599,0.94090446711444498,1.04500233724353,0.939444519583569,12.0,5823.0492118911197,3255.8394802872099,2912.5792275157501
"1998Q2",-58.481553882202199,12.366666670000001,1717.4019183655901,4.4015000000000004,634746.21733936504,21836.573787191501,0.92648025970706505,1.00298292413457,0.91897738349215896,13.0,5868.5251000546205,3502.8013233982601,2806.65281946697
"1998Q3",318.05475654084699,10.66,1709.58102518121,4.4706999999999901,645091.92536483204,17362.247828436899,0.91329644049563397,0.98130037699919304,0.89417700263661404,14.0,5552.0929519121801,3640.9529998183498,2825.1833904220398
"1998Q4",-33.1106636456079,14.15666667,1723.67112373741,4.7077999999999998,651412.71342494502,12015.035798704899,0.90213842609393602,0.981897212266441,0.87673904514142798,15.0,5156.8797005429496,3704.9326442776201,3156.4287127272901
"1999Q1",-226.59358051187701,14.01333333,1728.46871243589,4.4874000000000001,657393.39049172704,13045.9812993578,0.90011078735169903,0.93832149185507296,0.86587818134162997,16.0,4845.99731577272,3948.9029869210699,2766.0810021141601
"1999Q2",-304.29269353289601,12.76,1718.06538794015,4.2286999999999901,676340.85512196901,13187.045969304099,0.91422677485401305,0.93853549080591203,0.87633879541312898,17.0,4790.3423811375897,4145.1478987474402,2733.1613004217502
"1999Q3",-252.14486710363801,13.09,1709.0336628298601,4.1943000000000001,696150.20199231198,12851.2425598632,0.929970938757267,0.96772531822954999,0.91433638982308896,18.0,4730.33051311296,4262.2705933273301,2477.6657619716998
