Rodiklis	2006	2007	2008	2009	2010	2011
Bendrasis vidaus produktas (BVP)	7.88657059608464	8.90947340030377	3.20659880619167	-9.46431871262623	3.47168984209445	3.54569868618919
Namų ūkių vartojimo išlaidos	10.5763336812248	12.4300224365169	4.89563517504765	-6.68796242513456	3.04558048308092	2.02967326678263
Prekių ir paslaugų balansas	21.5073562972586	41.5218738684621	6.70162254583637	-49.2257348181298	25.0050277984599	-1.52266190192736
Bendrojo pagrindinio kapitalo formavimas	19.2945975365545	21.407025433516	-5.53543439874338	-34.9573116357075	20.3006115707351	7.85643687368911
