Rodiklis	2008	2009	2010	2011	2012
BVP augimas, grandine susietos apimties augimas, proc.	3.20659881747687	-12.8214942776200	1.92229122618826	0.0177075133233284	-0.0329053386254996
Vidutinio mėnesinio bruto darbo užmokesčio indeksai, ankstesnis laikotarpis = 100	119.365592234586	101.278122246785	100.015342956707	100.080666815462	100.113118243196
Vidutinis mėnesinis bruto darbo užmokestis, Lt	2256.59968068111	2285.44178322078	2285.79243756415	2287.6363135316	2290.22404754019
Prekių ir paslaugų balansas, proc. BVP	-0.199344631347066	-0.0976549908738538	-0.0948720790837826	-0.0944191252438806	-0.0945203274207831
Vartojimo augimas, grandine susietos apimties augimas, proc.	4.89563515819327	-13.9798017853508	-1.06849601884323	-0.0315492006390916	-0.0297607113059817
Bendrojo pagrindinio kapitalo formavimo augimas, grandine susietos apimties augimas, proc.	-1.97026095260123	-35.0221043002706	-0.293557681091228	0.0216855594137755	0.0311378378150762
BVP augimas to meto kainomis, proc.	13.9183600075850	-11.5980030125892	0.510147969284835	-0.0835932691576113	-0.0526362057925889
