Rodiklis	2008	2009	2010	2011	2012
BVP augimas, grandine susietos apimties augimas, proc.	3.20659881747687	-12.8220013448459	1.92262993547965	0.0382305512704573	-0.00957910990468935
Vidutinio mėnesinio bruto darbo užmokesčio indeksai, ankstesnis laikotarpis = 100	119.365592234586	101.277769337906	100.008638670516	100.009634881557	100.020187064194
Vidutinis mėnesinis bruto darbo užmokestis, Lt	2256.59968068111	2285.43381948015	2285.63125057767	2285.85146844150	2286.31291474481
Prekių ir paslaugų balansas, proc. BVP	-0.199344631347066	-0.0976594294514224	-0.0948784623102228	-0.0943417550732753	-0.0943859454636997
Vartojimo augimas, grandine susietos apimties augimas, proc.	4.89563515819327	-13.9801627297050	-1.06839783618539	-0.0152687039468913	-0.00824667904611998
Bendrojo pagrindinio kapitalo formavimo augimas, grandine susietos apimties augimas, proc.	-1.97026095260123	-35.0217562381561	-0.293845518604241	0.00176296572005352	0.0093585115160888
BVP augimas to meto kainomis, proc.	13.9183600075850	-11.5980796686611	0.512941943998690	-0.047321414748458	-0.0114346312911184
