"OBS","B_L_SA","C_N_SA","C_R_SA","CPI_RU_SA","E_SA","E_SAL_SA","G_N_SA","G_R_SA","I_N_SA","I_R_SA","L_SA","M_DE_SA","M_N_SA","M_NO_SA","M_O_SA","M_R_SA","M_RU_SA","MEA12_SA","MEA13_SA","MEA15_SA","MEA16_SA","MEA_SA","MEU15_SA","MEU25_SA","MEU27_SA","P_C_SA","P_CPI_SA","P_DE_SA","P_G_SA","P_I_SA","P_M_DE_SA","P_M_SA","P_MINO_SA","P_MIO_SA","P_OIL_SA","P_PPI_SA","P_SSKI_SA","P_X_SA","P_XINO_SA","P_XIO_SA","P_Y_SA","QM_SA","U_SA","W_B_SA","X_N_SA","X_NO_SA","X_O_SA","X_R_SA","X_RU_SA","Y_DU_SA","Y_INDEX_DE_SA","Y_MISR_SA","Y_N_DE_SA","Y_N_RU_SA","Y_N_SA","Y_N_SA_SA","Y_R_DE_SA","Y_R_SA"
"1995Q1",3951.35218367279,3864.37194457852,5224.8224952571099,14.895763040943301,1641.48174110893,1170.02052704224,1224.3212005376199,2176.70468250464,1226.39500817773,1225.50728761287,1947.3403873623499,113392.285581627,3729.5005050198101,2456.4631115141401,804.74326061851298,3693.09294737868,18366.297052532002,376836.92616053199,378830.02778661699,380381.171669957,382405.77760633599,369709.82402585598,462463.08305634302,484323.21814490901,487465.49844551901,0.73961784311073653,0.59613438331188895,1.0225078357381714,0.56246546000390207,1.0007243698783621,0.98458270885664401,1.0098582836012757,,,168.17864201542599,,0.66382818557263501,0.80857235893387791,,,0.63727627814799126,1659.0040031859,15.701561910329,420.90304421291899,2788.3971141652901,2153.5065119096598,242.54284072716399,3448.5436997152101,22982.5003328606,2244.55124914722,90.615746191290697,2233.0918780519901,477756.42534421303,257.36933242824801,5711.0575689042098,5726.1814137623896,467239.867163766,8961.6666502969401
"1995Q2",4065.2057609767899,4150.7287213687696,5557.2406272851003,19.1466288464066,1633.04842444319,1080.7974579687,1246.13830634081,2051.0506262683398,1370.63694833564,1422.83264847947,1970.0408117448501,112994.30776995599,3697.97543515692,2510.0959428138499,679.88964133346303,3638.0156256136502,19664.139901107301,377271.98537723703,379354.004329419,380878.55328272999,382889.10205598798,370752.92813346302,466101.857261036,488429.17290085898,491798.10268590198,0.74690462403038693,0.63507146834054795,1.0399863118165202,0.60756096918388658,0.96331564348090437,0.9798276043095,1.0164814601457781,,,175.54117331933099,,0.69036816971466597,0.85924890798136266,,,0.68615073804185089,1700.1097913819401,17.030396699765902,466.90175683349901,3116.9866625119498,2382.7888549188501,271.06603099711401,3627.5712818008701,24115.010509932101,2403.0934760502801,90.521437316378794,2356.78432133664,485415.291290019,335.41821457939301,6178.0047790241897,6220.9010324545898,466751.61564593599,9003.8594094573
"1995Q3",4112.91824866767,4355.5315543819497,5812.2496032798299,22.723342382676901,1619.5734911575601,1061.5889078482701,1413.90014322397,2232.5746707927101,1280.2470837109199,1263.3156684409901,1971.8731557011499,112717.528104962,3937.0293706780899,2718.4366685083,716.33280453347902,3944.7096145672599,21400.849921789901,375684.06223524601,377733.328397826,379281.33282572101,381376.097999844,369354.34436483198,467865.43947468401,490529.684360062,493960.49195591698,0.74937104420363165,0.676452008936966,1.0341164492460921,0.63330474976764961,1.0134023630774913,0.96815454439290605,0.99805302680308638,,,154.343511544758,,0.740696509242464,0.85765345090315392,,,0.75249979123873934,1779.85969676133,17.972298053691102,509.43420215243702,3333.9502461520701,2427.4862133341699,383.50581096954801,3887.2929883757201,22866.8181289686,2571.0969362025999,90.360271948155599,2691.3953945017602,481814.720748224,394.157223357416,6821.5280174166401,6754.3438810882599,465919.211612468,9065.1560264053696
"1995Q4",4039.1711622389298,4652.8983617100102,6134.5637745185204,25.681701266105701,1623.79321153722,1049.0170065473501,1722.13272805867,2491.46685739648,1539.08722553147,1493.34991688898,1975.69772283098,114061.662321336,4220.8118399391797,2878.07054032725,793.02632267840795,4221.9824555037903,23020.7106603471,381818.390980064,383948.96856094501,385517.85428337898,387711.15127690998,375138.57574099803,476486.29339455097,499999.842992872,503677.28346895002,0.7584725716010996,0.73643804833787796,1.0365395041152441,0.69121237673546865,1.0306273219191469,0.97121745578270102,0.9997227332001144,,,151.75476711993301,,0.77332780335231199,0.85633659241695737,,,0.76580394170264365,1636.7324680879599,17.886434853802999,565.92004048438605,3505.56196745123,2547.6594721595602,385.96709215553398,4093.67297683379,23028.001501842398,2771.5070108751402,90.699529447776598,2751.3132939285902,484755.97293361998,426.64058828114997,7116.0118451777698,7115.4900984750502,467667.62965526502,9292.2110447178493
"1996Q1",3824.44532605733,5000.0875974045703,5946.38404913057,28.222132458426401,1618.2767276053801,1129.7235283677201,1636.99659132489,2184.8402214499001,1608.8623740294099,1554.0428251686601,1970.7341679362801,115697.385540595,4677.2624815544395,2884.86234151285,763.38137485566097,4531.2423878893997,22609.472087727099,394350.04217730899,396411.60003755399,398046.59544958401,400646.97709225398,386516.44217702799,487570.814765852,513483.48986816499,517087.33266090899,0.84086186766487792,0.78465159712849797,1.0301309807876313,0.74925231385503743,1.0352754428468214,0.96597724031201204,1.0322251782547114,1.2466115938115201,0.68361021720210002,180.08832296388101,0.80773715451521999,0.80233911608334796,0.91227877568435378,0.83766738268394603,0.71031296005963496,0.79624827547073429,1369.9494226966001,17.759589911090998,599.19202141737003,3972.0540634570998,2209.6296797557602,411.38530238794499,4353.9915312371804,25533.406407957998,2930.6007295118002,90.653278945968395,2830.4328390027599,481517.52087003499,464.95124108750002,7505.7141985074704,7533.2895156043996,467433.29717340402,9426.3490794628906
"1996Q2",3745.47242499203,5283.6023435657999,6016.5423205370698,30.397448244041001,1613.28063657659,1072.98774672628,1709.8171901533401,2186.4453138867598,1633.7741739661601,1565.3509707554099,1957.7610939425499,112926.421682703,4644.1497755683204,2767.2479585722999,676.00864119596702,4468.2982247584196,21824.3859962924,387502.35379937,389593.99206381402,391203.395037868,393661.60024288303,380394.94675747101,486168.137858767,512285.81360260898,515777.21918093198,0.87817920361510171,0.82188766973065697,1.0171007193833936,0.78200775445595927,1.0437110938626948,0.95965488483886496,1.0393553746783337,1.2044344847075199,0.69034562090542895,187.343535395347,0.825132293854833,0.82398975887723902,0.95239240952626492,0.80775026348368395,0.71906932124515399,0.85212756471250539,1245.9472515405901,17.568243453044399,611.01517315146396,3935.28396987623,1990.10500812493,388.62966782665399,4131.9984604179099,25870.261840991199,3007.1137371581099,91.243163818723204,2954.82404024679,478518.97736627399,484.07762417443701,7802.9425701233504,7846.7753904501196,470473.541358196,9157.0122752171992
"1996Q3",3793.44934010312,5394.0136275331497,6047.2698706423398,31.212825924104401,1605.3598742981701,1057.6223887409201,2009.9257504591701,2526.7158046576501,1675.5953055360401,1570.8394706109,1930.63488651292,114834.332012089,5053.9870862606704,3086.24998794873,884.78809809177301,4792.5481846555804,21599.6897474586,392443.80217556702,394631.398297187,396266.03782348899,398937.45191192499,385339.47246703203,491377.15055522701,519084.219667572,522539.04830593598,0.89197501400085499,0.83686782750046995,1.0204516936766701,0.79546965541362058,1.0666878041232313,0.95509457193298897,1.0545511263594898,1.2637998797326,0.68122127526840703,195.599450763812,0.84282522022081896,0.85001368341948802,0.93581350726176027,0.81187671873802503,0.72351564924383505,0.87721837878084774,1204.8626305190701,16.905079737723199,651.76738330916305,4348.5435464709399,2187.5775866601898,545.41707974706901,4646.8057072557203,25527.741489814001,3382.4763985906702,91.857090999900507,3206.5467554039101,483323.63575918,514.08580403850499,8594.4920526556707,8519.9274908597399,473636.95778461901,9797.4372864830293
"1996Q4",3808.9576178994298,5774.2179263007401,6260.1316151640904,31.920463383443899,1587.13591104745,1060.01160461529,1889.62164018096,2287.9564367630401,1939.72779625158,1867.1832947595699,1885.7072574194599,117565.04044219,5514.9335502980002,3453.5204703047998,940.17316930673201,5299.8761787248995,20869.860935704401,402990.60545304301,405131.42959146801,406820.632115855,409751.77584043198,395312.600606199,510014.13404544402,537985.60561764101,541534.23046794196,0.92237963692547487,0.84984510506820499,1.0082486200104779,0.82589930901584951,1.0388523728203938,0.95413596024412595,1.0405778105602539,1.2214117423459301,0.67259507802837104,205.68702579571499,0.87175546658230696,0.87122094611767498,0.95628181774660359,0.80778506554205598,0.75869816525021205,0.89180956411915946,1306.73053726784,15.9028423129822,683.62327859468905,4607.3389030772796,2253.3031768000701,645.93355591407305,4817.9718756277098,26010.332425823501,3399.24519703955,92.022589512114195,3234.5200637937201,478403.00617082202,540.05942526201204,8710.3079436329008,8705.7756501730091,474489.12567403301,9767.0044077583698
"1997Q1",3982.3256474521199,5938.5071505321403,6401.55423066197,33.243236345750098,1583.1946953148299,1023.72244707496,2025.1145559506001,2286.1262606850901,2105.5912694482799,1903.2694761258699,1861.1546369007799,119933.66615689101,5804.4467493685497,3747.7629194097899,938.23116939136696,5611.8133253409696,21292.6241971936,409427.25783485902,411642.59946130699,413311.67549719999,416354.76122431399,400599.59503182699,514714.04357187398,545235.71139509301,548747.95164927002,0.92766645982440621,0.86917280536279795,1.0014559932857754,0.88582795743911724,1.1063022319541627,0.95935666260001995,1.034326413381877,1.2143581115281099,0.71581918376567799,203.22494417580501,0.888574494551159,0.89394934864860198,0.98123853815102924,0.77008309397819197,0.80488770109299101,0.93713345811475146,1464.9568624035501,14.8964742160372,733.94502446153103,4814.9485209805698,2369.0231077112699,608.01483832778501,4907.01122486841,25355.979789856501,3608.5456736142801,91.027685191390503,3364.2208557796798,470047.07460855599,557.15228082307999,9259.9012739493992,9299.7969039514792,469363.684235722,9881.09131497419
"1997Q2",3823.6662264182801,6002.9609733345296,6341.4985022131495,34.979247245738001,1568.90508459987,1048.3934605783199,2395.1745093489599,2674.0916140702102,2129.54972710938,1950.4261569835301,1840.09884384525,124143.98674517599,6241.5706249498198,3984.12828239899,1060.6127953789801,5980.4722473239799,21760.583109528401,429112.49513344403,431455.58583817497,433214.43871809298,436430.59397478099,420681.65333379898,544957.11382078996,576840.83832410001,580975.59109309805,0.94661553120914999,0.88473095707509697,0.99437397479310319,0.89569650371973863,1.0918381705887688,0.95944647500646096,1.0436584882979218,1.23069396725436,0.71928973731324997,178.534115467356,0.88139281180116702,0.91293124163052997,0.98629311605845116,0.77170329485142497,0.788953957610117,0.96316723526580106,1343.2953076661299,14.7303381615224,792.26575785635703,5073.5123065211801,2476.6954577842998,742.318721566921,5144.0208026561004,24435.431822364098,3801.77744100361,93.840489010757807,3436.6149395891698,481144.75542069401,573.68538871066698,9747.8118392079105,9780.1031484479499,483867.00337848702,10120.5808112003
