"Rodiklis","Formula","Vienetai"
"Darbo jėga, darbo jėgos tyrimų duomenimis","l_sa","tūkst. žm"
"Užimtųjų skaičius","e_sa","tūkst. žm"
"Sąlyginis darbuotojų skaičius","e_sal_sa","tūkst. žm"
"Nedarbo lygis","u_sa","proc"
