"Rodiklis","Formula","Vienetai"
"Bendrasis vidaus produktas (BVP)","y_r_sa","mln. Lt"
"Namų ūkių vartojimo išlaidos","c_r_sa","mln. Lt"
"Prekių ir paslaugų balansas","x_r_sa-m_r_sa","mln. Lt"
"Bendrojo pagrindinio kapitalo formavimas","i_r_sa","mln. Lt"
