"Rodiklis","Formula","Vienetai"
"BVP defliatorius","p_y_sa","indeksas"
"Vartojimo prekių ir paslaugų kainų indeksas","p_cpi_sa","indeksas"
"Gamintojų kainų indeksas","p_ppi_sa","indeksas"
"Vidutinis mėnesinis bruto darbo užmokestis","w_b_sa","Lt"
